Nome;Rating;Posição Principal
Cristiano Ronaldo;94;LW/ST
Lionel Messi;93;RW
Neymar;92;LW
Luis Suárez;92;ST
Manuel Neuer;92;GK
De Gea;90;GK
Robert Lewandowski;90;ST
Gareth Bale;90;RW
Zlatan Ibrahimovi ;90;ST
Thibaut Courtois;89;GK
Jérôme Boateng;89;CB
Eden Hazard;89;LW/LM
Luka Modri ;89;CM/CDM
Mesut Özil;89;CAM/LW
Gonzalo Higuaín;89;ST
Thiago Silva;89;CB
Sergio Ramos;89;CB
Sergio Agüero;89;ST
Paul Pogba;88;CM/CAM
Antoine Griezmann;88;ST/LW
Kevin De Bruyne;88;CAM/RM/LM
Marco Reus;88;LM/CAM
Alexis Sánchez;88;ST/RM
Toni Kroos;88;CM/CDM
Diego Godín;88;CB
Mats Hummels;88;CB
Hugo Lloris;88;GK
Giorgio Chiellini;88;CB
Philipp Lahm;88;RB/CM
Pepe;88;CB
Petr  ech;88;GK
Gianluigi Buffon;88;GK
Iniesta;88;CM
Jan Oblak;87;GK
James Rodríguez;87;CAM/RM
Pierre-Emerick Aubameyang;87;ST/RM
Leonardo Bonucci;87;CB
Arturo Vidal;87;CM/CDM
Ivan Rakiti ;87;CM
David Silva;87;CAM/LM
Samir Handanovi ;87;GK
Piqué;87;CB
Arjen Robben;87;RM/RW
Paulo Dybala;86;ST/CAM
Marco Verratti;86;CM/CDM
David Alaba;86;LB/CM
Henrikh Mkhitaryan;86;RM/CAM
Bernd Leno;86;GK
Thomas Müller;86;CF/CAM/ST
Sergio Busquets;86;CDM/CM
Thiago;86;CM/CDM/LM
Jordi Alba;86;LB
Coutinho;86;LW/CAM
Ángel Di María;86;RW/CAM
Diego Costa;86;ST
Edinson Cavani;86;ST
Radja Nainggolan;86;CM/CAM
Marcelo;86;LB
Claudio Marchisio;86;CM/CDM
Miranda;86;CB
Karim Benzema;86;ST
Cesc Fàbregas;86;CM/CAM
Franck Ribéry;86;LM/LW
Santi Cazorla;86;CAM/CDM
Andrea Barzagli;86;CB
Harry Kane;85;ST
Alexandre Lacazette;85;ST
Keylor Navas;85;GK
Romelu Lukaku;85;ST
Christian Eriksen;85;CAM/LM
 lkay Gündo an;85;CM/CDM
Toby Alderweireld;85;CB
Willian;85;RM/CAM
Miralem Pjani ;85;CM/CDM
Juan Mata;85;CAM/CM
Javi Martinez;85;CB/CDM
Dimitri Payet;85;LM/LW
Dries Mertens;85;LW/ST
Sokratis;85;CB
Marek Hamšik;85;CM
Blaise Matuidi;85;CDM/CM
Stéphane Ruffier;85;GK
Laurent Koscielny;85;CB
Filipe Luís;85;LB
Vincent Kompany;85;CB
Aymeric Laporte;84;CB
Yannick Carrasco;84;LM/LW
Carvajal;84;RB
Riyad Mahrez;84;RM/CAM
Raphaël Varane;84;CB
Mauro Icardi;84;ST
Lorenzo Insigne;84;LW
Isco;84;CM/RM
Koke;84;CM/RM
Kostas Manolas;84;CB
Danijel Subaši ;84;GK
Nicolás Otamendi;84;CB
Shkodran Mustafi;84;CB
Nemanja Mati ;84;CDM/CM
Alex Sandro;84;LB/LM
Kamil Glik;84;CB
Douglas Costa;84;LM/CAM
Kevin Strootman;84;CM/CDM
Nicolás Gaitán;84;LM
Bruno;84;CM
Ivan Periši ;84;LM/CAM
David Luiz;84;CB
Sami Khedira;84;CM/CDM
Benedikt Höwedes;84;CB/RB
Ralf Fährmann;84;GK
Sergio Asenjo;84;GK
Éver Banega;84;CAM
Medhi Benatia;84;CB
Steve Mandanda;84;GK
Dani Alves;84;RB
Arda Turan;84;CM/LW
Javier Mascherano;84;CB/CDM
Aduriz;84;ST
Yaya Touré;84;CM/CDM
Eric Bailly;83;CB
José María Giménez;83;CB
N'Golo Kanté;83;CM/CDM
Gerónimo Rulli;83;GK
João Mário;83;CM/CAM
André Gomes;83;CM/CAM
Marquinhos;83;CB/RB
Carlos Bacca;83;ST
William Carvalho;83;CDM
Karim Bellarabi;83;RM
Raheem Sterling;83;RM/RW
Julian Draxler;83;CAM/LW
Roberto Firmino;83;ST/CAM
Marcos Rojo;83;CB/LB
Kalidou Koulibaly;83;CB
Danilo Pereira;83;CDM
Timo Horn;83;GK
Casemiro;83;CDM
Vitolo;83;LM/RM
Anthony Lopes;83;GK
Mattia Perin;83;GK
Joel Matip;83;CB
Juan Cuadrado;83;RM/CAM
Iago Aspas;83;ST/RW
Marc-André ter Stegen;83;GK
Mario Götze;82;CM/CAM
Ander Herrera;83;CM/CDM
Javier Pastore;83;CM/RW
Chris Smalling;83;CB
Pedro;83;RW/LW
Giacomo Bonaventura;83;CM/LM
Roman Bürki;83;GK
Oscar;83;CAM/LM
Steven N'Zonzi;83;CDM/CM
Aaron Ramsey;83;CM/RM
Mateo Musacchio;83;CB
Ömer Toprak;83;CB
José Callejón;83;RW
Adrien Silva;83;CM
Azpilicueta;83;CB/LB
Sebastian Giovinco;83;CF/ST
Anthony Modeste;83;ST
Mario Mandžuki ;83;ST/LM
Adam Lallana;83;CM
Olivier Giroud;83;ST
Rui Patrício;83;GK
Yann Sommer;83;GK
Jonas;83;ST
Kévin Gameiro;83;ST
Claudio Bravo;83;GK
 ukasz Piszczek;83;RB/CB
Jan Vertonghen;83;CB
Asmir Begovi ;83;GK
Naldo;83;CB
Daniel Sturridge;83;ST/RW
José Fonte;83;CB
Ezequiel Garay;83;CB
Samir Nasri;83;LM/CM/CAM
Gary Cahill;83;CB
Ashley Williams;83;CB
Leighton Baines;83;LB
Kasper Schmeichel;83;GK
Borja Valero;83;CAM/CF
Hatem Ben Arfa;83;CAM/ST
Joe Hart;83;GK
Juanfran;83;RB
Wesley Sneijder;83;CAM
Nani;83;LW/CAM/LM
Stephan Lichtsteiner;83;RB/RM
Wayne Rooney;83;CAM/CM
Daniele De Rossi;83;CDM
José Reina;83;GK
Quaresma;83;RM/LM
Marco Asensio;82;CAM/LM/LW
Bernardo Silva;83;RM/CAM
Islam Slimani;82;ST
Jonathan Tah;82;CB
Anthony Martial;82;LM/ST
Dele Alli;82;CAM/LM
Ederson;82;GK
Mohamed Salah;82;RW
Sadio Mané;82;RW
Lucas Vázquez;82;RW/RM
Franco Vázquez;82;CAM/ST/CF
Manu Trigueros;82;CM
Samuel Umtiti;82;CB
Stefan Savi ;82;CB
Roque Mesa;82;CDM/CM
Loris Karius;82;GK
Alessandro Florenzi;82;RB/CM
Virgil van Dijk;82;CB
Jack Butland;82;GK
Morata;82;ST/LW
Lucas;82;RW/LW
Yevhen Konoplyanka;82;LM
Francesco Acerbi;82;CB
Nolito;82;LW/LM
Granit Xhaka;82;CDM/CM
Stefan de Vrij;82;CB
Jonathan Viera;82;CM/CAM
Pizzi;82;CM/LM
Serge Aurier;82;RB
Grzegorz Krychowiak;82;CDM
Kevin Kampl;82;CM/CDM
Dejan Lovren;82;CB
